Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2019;536
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2018;498
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2017;411
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2016;296
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2015;195
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2014;137
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;15 años;2013;166
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2023;530
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2022;582
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2021;611
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2020;469
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2019;601
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2018;640
Total Infracciones;A Delitos;6 Contra la libertad;6.2 Amenazas;;16 años;2017;423
